"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102270","Postconditions => change to default","Edit Personal Info tests","2026-03-16","passed","2026-03-16","","Edit personal info -> Positive cases","",""
"","106331","Send a message to the pharmacy (Select ""Billing/Insurance"" subject)","Send Messages tests","2026-03-16","passed","2026-03-16","","","",""
"","111459","Edit medical info (Select No Known allergies radio button, remove all Allergies)","Edit Medical Info tests","2026-03-16","passed","2026-03-16","","Edit Medical Info tests -> Positive cases","",""
"","9346","Sign up test with invalid email structure","Sign up tests","2026-03-16","passed","2026-03-16","","","",""
"","90148","Edit medical info (add allergies, chips+custom)","Edit Medical Info tests","2026-03-16","passed","2026-03-16","","Edit Medical Info tests -> Positive cases","",""
"","44755","Reset password using the last actual one","Reset password tests","2026-03-16","passed","2026-03-16","","Reset password tests  -> Negative cases","",""
"","81497","Sign up test with resent sms verification code","Sign up tests","2026-03-16","passed","2026-03-16","","","",""
"","148090","Change the clinical service type per appointment flow","Appointments tests","2026-03-16","passed","2026-03-16","","See Available Appointment Slots For Selected Service+Location","",""
"","71248","Edit medical info (Select Known allergies without selecting allergies)","Edit Medical Info tests","2026-03-16","passed","2026-03-16","","Edit medical info -> Negative cases","",""
"","124623","Send the first message to the pharmacy (Select ""General inquiry"" subject)","Send Messages tests","2026-03-16","passed","2026-03-16","","","",""
"","79752","Edit medical info (remove some medical conditions, chips)","Edit Medical Info tests","2026-03-16","passed","2026-03-16","","Edit Medical Info tests -> Positive cases","",""
"","23276","Sign up test with different passwords","Sign up tests","2026-03-16","passed","2026-03-16","","","",""
"","18742","Login test with valid credentials","Log in tests","2026-03-16","passed","2026-03-16","","","",""
"","9318","Login test with invalid email","Log in tests","2026-03-16","passed","2026-03-16","","","",""
"","88801","Edit medical info (add medical conditions, chips)","Edit Medical Info tests","2026-03-16","passed","2026-03-16","","Edit Medical Info tests -> Positive cases","",""
"","114706","Check available appointment times for a different location","Appointments tests","2026-03-16","passed","2026-03-16","","See Available Appointment Slots For Selected Service+Location","",""
"","53418","Login after logout","Log in tests","2026-03-16","passed","2026-03-16","","","",""
"","89410","User can choose ""No"" during rescheduling the appointment","Appointments tests","2026-03-16","passed","2026-03-16","","Reschedule An Appointment","",""
"","97904","Edit medical info (add allergies, chips)","Edit Medical Info tests","2026-03-16","passed","2026-03-16","","Edit Medical Info tests -> Positive cases","",""
"","40332","Verify that the “Find Your Store” menu opens when expected","Change Pharmacy Location Tests","2026-03-16","passed","2026-03-16","","","",""
"","74682","Edit personal info (dob)","Edit Personal Info tests","2026-03-16","passed","2026-03-16","","Edit personal info -> Positive cases","",""
"","86723","Edit medical info (add allergies, from search)","Edit Medical Info tests","2026-03-16","passed","2026-03-16","","Edit Medical Info tests -> Positive cases","",""
"","87204","The Patient Under Care can cancel the upcoming appointment scheduled by the Caregiver","Appointments tests","2026-03-16","passed","2026-03-16","","Cancel An Appointment","",""
"","16995","Sign up test with empty password","Sign up tests","2026-03-16","passed","2026-03-16","","","",""
"","15697","Login test with invalid password","Log in tests","2026-03-16","passed","2026-03-16","","","",""
"","102436","Copy URL from the Pharmacy message and send it","Send Messages tests","2026-03-16","passed","2026-03-16","","","",""
"","99314","Add Child under your care","People Under Your Care tests","2026-03-16","passed","2026-03-16","","","",""
"","39756","Sign up test with empty mobile number","Sign up tests","2026-03-16","passed","2026-03-16","","","",""
"","98365","Cancel sending message to Pharmacy","Send Messages tests","2026-03-16","passed","2026-03-16","","","",""
"","155088","Caregiver can reschedule the appointment for PUC created by PUC","Appointments tests","2026-03-16","passed","2026-03-16","","Reschedule An Appointment","",""
"","165860","Edit personal info (empty and invalid DOB field)","Edit Personal Info tests","2026-03-16","passed","2026-03-16","","Edit personal info -> Negative cases","",""
"","133599","Book The Appointment for Tomorrow","Appointments tests","2026-03-16","passed","2026-03-16","","Book The Appointment With My Pharmacy","",""
"","73671","Edit personal info (city)","Edit Personal Info tests","2026-03-16","passed","2026-03-16","","Edit personal info -> Positive cases","",""
"","72793","Edit medical info (Select a bottle cap preference, child-resistant caps)","Edit Medical Info tests","2026-03-16","passed","2026-03-16","","Edit Medical Info tests -> Positive cases","",""
"","154244","Person Under Care can reschedule the appointment created by Caregiver","Appointments tests","2026-03-16","passed","2026-03-16","","Reschedule An Appointment","",""
"","37930","Sign up test with empty date of birth","Sign up tests","2026-03-16","passed","2026-03-16","","","",""
"","53170","Edit personal info (Country)","Edit Personal Info tests","2026-03-16","passed","2026-03-16","","Edit personal info -> Positive cases","",""
"","216924","Revoke Caregiver's request","People Under Your Care tests","2026-03-15","passed","2026-03-15","","","",""
"","39407","Sign up test with empty first name","Sign up tests","2026-03-16","passed","2026-03-16","","","",""
"","40040","Sign up test with empty last name","Sign up tests","2026-03-16","passed","2026-03-16","","","",""
"","60428","Reset password test with not registered email","Reset password tests","2026-03-16","passed","2026-03-16","","Reset password tests  -> Negative cases","",""
"","67581","Check the Appointment card details on the Appointments page","Appointments tests","2026-03-16","passed","2026-03-16","","See Upcoming Appointments","",""
"","93052","Try adding Yourself to under your care","People Under Your Care tests","2026-03-16","passed","2026-03-16","","","",""
"","23429","Verify the presence of the [Geolocation] button in the header","Change Pharmacy Location Tests","2026-03-16","passed","2026-03-16","","","",""
