"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","67113","Send a message to the pharmacy (Select ""Meds & Rx order info"" subject)","Send Messages tests","2026-03-16","passed","2026-03-16","","","",""
"","59063","Check sent message to the pharmacy inside chat","Send Messages tests","2026-03-16","passed","2026-03-16","","","",""
"","20202","Verify the presence of the [Geolocation] button in the header","Change Pharmacy Location Tests","2026-03-16","passed","2026-03-16","","","",""
"","103382","Book The Appointment With My Pharmacy - for Person Under Care","Appointments tests","2026-03-16","passed","2026-03-16","","Book The Appointment With My Pharmacy","",""
"","18155","Login test with invalid password","Log in tests","2026-03-16","passed","2026-03-16","","","",""
"","100539","Add not registered patient under your care","People Under Your Care tests","2026-03-16","passed","2026-03-16","","","",""
"","22531","Verify that the “Find Your Store” menu opens when expected","Change Pharmacy Location Tests","2026-03-16","passed","2026-03-16","","","",""
"","67901","Edit personal info (last name)","Edit Personal Info tests","2026-03-16","passed","2026-03-16","","Edit personal info -> Positive cases","",""
"","49066","Change workflow status to ""Out Of Stock"" and verify if it changed.","Order Prescriptions tests","2026-03-17","passed","2026-03-17","","Order prescriptions -> Positive cases","",""
"","74379","User can cancel their upcoming appointment ","Appointments tests","2026-03-16","passed","2026-03-16","","Cancel An Appointment","",""
"","59062","Reset password test with empty email","Reset password tests","2026-03-16","passed","2026-03-16","","Reset password tests  -> Negative cases","",""
"","67324","Book The Appointment for Tomorrow","Appointments tests","2026-03-16","passed","2026-03-16","","Book The Appointment With My Pharmacy","",""
"","86016","Check if radio button “No known allergies“ is selected there is a possibility to click on Allergies input field","Order Prescriptions tests","2026-03-17","passed","2026-03-17","","Order prescriptions -> Positive cases","",""
"","101204","Caregiver can reschedule the appointment for PUC created by Caregiver","Appointments tests","2026-03-16","passed","2026-03-16","","Reschedule An Appointment","",""
"","85084","Postconditions => change to default","Edit Personal Info tests","2026-03-16","passed","2026-03-16","","Edit personal info -> Positive cases","",""
