"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","54911","Verify that the patient can change the pharmacy location using the header [Geolocation] button","Change Pharmacy Location Tests","2026-03-15","passed","2026-03-15","","","",""
"","77621","User can choose ""No"" during rescheduling the appointment","Appointments tests","2026-03-15","passed","2026-03-15","","Reschedule An Appointment","",""
"","21888","Reorder prescriptions from order details screen","Order Prescriptions tests","2026-03-16","passed","2026-03-16","","Order prescriptions -> Positive cases","",""
"","76856","Edit personal info (street Address)","Edit Personal Info tests","2026-03-15","passed","2026-03-15","","Edit personal info -> Positive cases","",""
"","18266","Login test with invalid password","Log in tests","2026-03-15","passed","2026-03-15","","","",""
"","90154","Add another prescription as an existing user","Order Prescriptions tests","2026-03-16","passed","2026-03-16","","Order prescriptions -> Positive cases","",""
"","113932","Send a message to the pharmacy (Select ""Meds & Rx order info"" subject)","Send Messages tests","2026-03-15","passed","2026-03-15","","","",""
"","8586","Change workflow status to ""Ready for delivery"" and verify if it changed.","Order Prescriptions tests","2026-03-16","passed","2026-03-16","","Order prescriptions -> Positive cases","",""
"","85622","Edit medical info (remove some medical conditions, chips)","Edit Medical Info tests","2026-03-15","passed","2026-03-15","","Edit Medical Info tests -> Positive cases","",""
"","121486","Book The Appointment for Tomorrow","Appointments tests","2026-03-15","passed","2026-03-15","","Book The Appointment With My Pharmacy","",""
"","8431","Change workflow status to ""Awaiting insurance"" and verify if it changed.","Order Prescriptions tests","2026-03-16","passed","2026-03-16","","Order prescriptions -> Positive cases","",""
"","106844","Check if radio button “No known allergies“ is selected there is a possibility to click on Allergies input field","Order Prescriptions tests","2026-03-16","passed","2026-03-16","","Order prescriptions -> Positive cases","",""
"","174131","Deny Caregiver's request","People Under Your Care tests","2026-03-15","passed","2026-03-15","","","",""
"","97152","Edit medical info (add medical conditions, chips)","Edit Medical Info tests","2026-03-15","passed","2026-03-15","","Edit Medical Info tests -> Positive cases","",""
"","125241","Check whether user is able to remove item/items from the list","Order Prescriptions tests","2026-03-16","broken","2026-03-16","","Order prescriptions -> Positive cases","",""
"","121883","Edit medical info (Select No Known allergies radio button, remove all Allergies)","Edit Medical Info tests","2026-03-15","passed","2026-03-15","","Edit Medical Info tests -> Positive cases","",""
"","93333","Verify if User needs to provide answers for all required fields","Order Prescriptions tests","2026-03-16","passed","2026-03-16","","Order prescriptions -> Positive cases","",""
"","8351","Change workflow status to ""Ready for pickup"" and verify if it changed.","Order Prescriptions tests","2026-03-16","passed","2026-03-16","","Order prescriptions -> Positive cases","",""
"","20542","Reorder prescriptions of Completed Order","Order Prescriptions tests","2026-03-16","passed","2026-03-16","","Order prescriptions -> Positive cases","",""
"","98412","Edit personal info (street Address line 2)","Edit Personal Info tests","2026-03-15","passed","2026-03-15","","Edit personal info -> Positive cases","",""
"","125681","Add Person under your care again who is in the pending status","People Under Your Care tests","2026-03-15","passed","2026-03-15","","","",""
"","135322","Send the first message to the pharmacy (Select ""General inquiry"" subject)","Send Messages tests","2026-03-15","passed","2026-03-15","","","",""
"","8769","Change workflow status to ""Out for delivery"" and verify if it changed.","Order Prescriptions tests","2026-03-16","passed","2026-03-16","","Order prescriptions -> Positive cases","",""
"","119535","Check the soonest available appointment slot and times","Appointments tests","2026-03-15","passed","2026-03-15","","See Available Appointment Slots For Selected Service+Location","",""
"","6418","I'm a new patient screen","Sign up tests","2026-03-15","passed","2026-03-15","","","",""
"","21660","Order prescription with changing Method of delivery (Pickup)","Order Prescriptions tests","2026-03-16","passed","2026-03-16","","Order prescriptions -> Positive cases","",""
"","119606","Book The Appointment for Today - Check the Appointment Detail page","Appointments tests","2026-03-15","passed","2026-03-15","","Book The Appointment With My Pharmacy","",""
"","98374","Check available appointment times for a different location","Appointments tests","2026-03-15","passed","2026-03-15","","See Available Appointment Slots For Selected Service+Location","",""
"","32537","Sign up test with different passwords","Sign up tests","2026-03-15","passed","2026-03-15","","","",""
"","93470","Edit personal info (empty first and last names fields)","Edit Personal Info tests","2026-03-15","passed","2026-03-15","","Edit personal info -> Negative cases","",""
"","161518","Edit personal info (first name)","Edit Personal Info tests","2026-03-15","passed","2026-03-15","","Edit personal info -> Positive cases","",""
"","75806","Edit medical info (Select Known allergies without selecting allergies)","Edit Medical Info tests","2026-03-15","passed","2026-03-15","","Edit medical info -> Negative cases","",""
"","129172","Caregiver can reschedule the appointment for PUC created by PUC","Appointments tests","2026-03-15","passed","2026-03-15","","Reschedule An Appointment","",""
"","93739","Verify if User is not required to provide answers for optional fields","Order Prescriptions tests","2026-03-16","passed","2026-03-16","","Order prescriptions -> Positive cases","",""
"","64944","Reset password test using Email","Reset password tests","2026-03-15","passed","2026-03-15","","Reset password tests -> Positive cases","",""
"","125907","User can reschedule their own appointment","Appointments tests","2026-03-15","passed","2026-03-15","","Reschedule An Appointment","",""
"","31547","Verify that the “Find Your Store” menu opens when expected","Change Pharmacy Location Tests","2026-03-15","passed","2026-03-15","","","",""
"","99709","Check past appointments that the user had booked for themselves","Appointments tests","2026-03-15","passed","2026-03-15","","See Past Appointments","",""
"","79615","Edit personal info (ZIP code)","Edit Personal Info tests","2026-03-15","passed","2026-03-15","","Edit personal info -> Positive cases","",""
"","90156","Edit medical info (remove all medical conditions, chips)","Edit Medical Info tests","2026-03-15","passed","2026-03-15","","Edit Medical Info tests -> Positive cases","",""
"","20681","Order prescription with changing Method of delivery (Mail)","Order Prescriptions tests","2026-03-16","passed","2026-03-16","","Order prescriptions -> Positive cases","",""
"","80097","Edit personal info (city)","Edit Personal Info tests","2026-03-15","passed","2026-03-15","","Edit personal info -> Positive cases","",""
"","57949","Edit personal info (Country)","Edit Personal Info tests","2026-03-15","passed","2026-03-15","","Edit personal info -> Positive cases","",""
"","85758","Check availability for a different day, and times","Appointments tests","2026-03-15","passed","2026-03-15","","See Available Appointment Slots For Selected Service+Location","",""
"","20809","Add Meds without Entering Rx number*","Order Prescriptions tests","2026-03-16","passed","2026-03-16","","Order prescriptions -> Negative cases","",""
"","69532","Check the Appointments page when there are no past appointments","Appointments tests","2026-03-15","passed","2026-03-15","","See Past Appointments","",""
"","58638","Reset password test with empty email","Reset password tests","2026-03-15","passed","2026-03-15","","Reset password tests  -> Negative cases","",""
"","64524","Reset password test with not registered email","Reset password tests","2026-03-15","passed","2026-03-15","","Reset password tests  -> Negative cases","",""
"","95844","Check if radio button “Known allergies“ is selected there is a possibility to click on Allergies input field","Order Prescriptions tests","2026-03-16","passed","2026-03-16","","Order prescriptions -> Positive cases","",""
"","22405","Change viewing medications for person and order prescriptions","Order Prescriptions tests","2026-03-16","passed","2026-03-16","","Order prescriptions -> Positive cases","",""
"","88598","Sign up test with add prescription -> Do this later","Sign up tests","2026-03-15","passed","2026-03-15","","","",""
"","97909","Send message that contains URL","Send Messages tests","2026-03-15","passed","2026-03-15","","","",""
"","101518","Edit medical info (add allergies, chips+custom)","Edit Medical Info tests","2026-03-15","passed","2026-03-15","","Edit Medical Info tests -> Positive cases","",""
"","88358","Sign up test -> Skip RX option","Sign up tests","2026-03-15","passed","2026-03-15","","","",""
"","148826","Change the clinical service type per appointment flow","Appointments tests","2026-03-15","passed","2026-03-15","","See Available Appointment Slots For Selected Service+Location","",""
"","145758","Person Under Care can reschedule the appointment created by Caregiver","Appointments tests","2026-03-15","passed","2026-03-15","","Reschedule An Appointment","",""
